variant_name,formation_months,holding_months,ranking_lag_days,bucket_count,symbol_count,fold_count,positive_folds,negative_folds,positive_fold_rate,sharpe,total_return,final_equity,max_drawdown,avg_turnover,total_turnover,trade_count,mean_fold_sharpe,median_fold_sharpe,fold_return_std,fold_drawdown_abs_std,walk_forward_excess_cumulative_return,passed_stability_gates,stability_gate_reasons,summary_json_path,summary_csv_path
jt1993_j3_k3_lag5,3,3,5,10,40,12,5,7,0.41666667,0.043231,-0.00071775,0.99928225,-0.20047544,0.01386818,41.8541677,42823,-0.05252626,-0.10414683,0.05149043,0.02318006,-7.30217929,True,[],data/pipeline_artifacts/jegadeesh_titman_momentum_research__jt1993_j3_k3_lag5.json,data/pipeline_artifacts/jegadeesh_titman_momentum_research__jt1993_j3_k3_lag5.csv
jt1993_j6_k3_lag5,6,3,5,10,40,12,5,7,0.41666667,0.043231,-0.00071775,0.99928225,-0.20047544,0.01386818,41.8541677,42823,-0.05252626,-0.10414683,0.05149043,0.02318006,-7.30217929,True,[],data/pipeline_artifacts/jegadeesh_titman_momentum_research__jt1993_j6_k3_lag5.json,data/pipeline_artifacts/jegadeesh_titman_momentum_research__jt1993_j6_k3_lag5.csv
jt1993_j9_k3_lag5,9,3,5,10,40,12,5,7,0.41666667,0.043231,-0.00071775,0.99928225,-0.20047544,0.01386818,41.8541677,42823,-0.05252626,-0.10414683,0.05149043,0.02318006,-7.30217929,True,[],data/pipeline_artifacts/jegadeesh_titman_momentum_research__jt1993_j9_k3_lag5.json,data/pipeline_artifacts/jegadeesh_titman_momentum_research__jt1993_j9_k3_lag5.csv
jt1993_j12_k3_lag5,12,3,5,10,40,12,5,7,0.41666667,0.043231,-0.00071775,0.99928225,-0.20047544,0.01386818,41.8541677,42823,-0.05252626,-0.10414683,0.05149043,0.02318006,-7.30217929,True,[],data/pipeline_artifacts/jegadeesh_titman_momentum_research__jt1993_j12_k3_lag5.json,data/pipeline_artifacts/jegadeesh_titman_momentum_research__jt1993_j12_k3_lag5.csv
jt1993_j3_k6_lag5,3,6,5,10,40,12,5,7,0.41666667,-0.03524783,-0.06986178,0.93013822,-0.19425018,0.00950892,28.69791673,53629,-0.02568827,-0.04239197,0.04030924,0.04062869,-7.3713233,True,[],data/pipeline_artifacts/jegadeesh_titman_momentum_research__jt1993_j3_k6_lag5.json,data/pipeline_artifacts/jegadeesh_titman_momentum_research__jt1993_j3_k6_lag5.csv
jt1993_j6_k6_lag5,6,6,5,10,40,12,5,7,0.41666667,-0.03524783,-0.06986178,0.93013822,-0.19425018,0.00950892,28.69791673,53629,-0.02568827,-0.04239197,0.04030924,0.04062869,-7.3713233,True,[],data/pipeline_artifacts/jegadeesh_titman_momentum_research__jt1993_j6_k6_lag5.json,data/pipeline_artifacts/jegadeesh_titman_momentum_research__jt1993_j6_k6_lag5.csv
jt1993_j9_k6_lag5,9,6,5,10,40,12,5,7,0.41666667,-0.03524783,-0.06986178,0.93013822,-0.19425018,0.00950892,28.69791673,53629,-0.02568827,-0.04239197,0.04030924,0.04062869,-7.3713233,True,[],data/pipeline_artifacts/jegadeesh_titman_momentum_research__jt1993_j9_k6_lag5.json,data/pipeline_artifacts/jegadeesh_titman_momentum_research__jt1993_j9_k6_lag5.csv
jt1993_j12_k6_lag5,12,6,5,10,40,12,5,7,0.41666667,-0.03524783,-0.06986178,0.93013822,-0.19425018,0.00950892,28.69791673,53629,-0.02568827,-0.04239197,0.04030924,0.04062869,-7.3713233,True,[],data/pipeline_artifacts/jegadeesh_titman_momentum_research__jt1993_j12_k6_lag5.json,data/pipeline_artifacts/jegadeesh_titman_momentum_research__jt1993_j12_k6_lag5.csv
jt1993_j3_k12_lag5,3,12,5,10,40,12,5,7,0.41666667,-0.09840255,-0.11851761,0.88148239,-0.19503239,0.00824493,24.88320709,56987,-0.09982933,-0.10191518,0.0476686,0.04568936,-7.41997923,True,[],data/pipeline_artifacts/jegadeesh_titman_momentum_research__jt1993_j3_k12_lag5.json,data/pipeline_artifacts/jegadeesh_titman_momentum_research__jt1993_j3_k12_lag5.csv
jt1993_j6_k12_lag5,6,12,5,10,40,12,5,7,0.41666667,-0.09840255,-0.11851761,0.88148239,-0.19503239,0.00824493,24.88320709,56987,-0.09982933,-0.10191518,0.0476686,0.04568936,-7.41997923,True,[],data/pipeline_artifacts/jegadeesh_titman_momentum_research__jt1993_j6_k12_lag5.json,data/pipeline_artifacts/jegadeesh_titman_momentum_research__jt1993_j6_k12_lag5.csv
jt1993_j9_k12_lag5,9,12,5,10,40,12,5,7,0.41666667,-0.09840255,-0.11851761,0.88148239,-0.19503239,0.00824493,24.88320709,56987,-0.09982933,-0.10191518,0.0476686,0.04568936,-7.41997923,True,[],data/pipeline_artifacts/jegadeesh_titman_momentum_research__jt1993_j9_k12_lag5.json,data/pipeline_artifacts/jegadeesh_titman_momentum_research__jt1993_j9_k12_lag5.csv
jt1993_j12_k12_lag5,12,12,5,10,40,12,5,7,0.41666667,-0.09840255,-0.11851761,0.88148239,-0.19503239,0.00824493,24.88320709,56987,-0.09982933,-0.10191518,0.0476686,0.04568936,-7.41997923,True,[],data/pipeline_artifacts/jegadeesh_titman_momentum_research__jt1993_j12_k12_lag5.json,data/pipeline_artifacts/jegadeesh_titman_momentum_research__jt1993_j12_k12_lag5.csv
jt1993_j3_k9_lag5,3,9,5,10,40,12,3,9,0.25,-0.10392797,-0.12338115,0.87661885,-0.1863442,0.00852294,25.72222245,56747,-0.12434614,-0.15683543,0.04786138,0.04517162,-7.42484264,True,[],data/pipeline_artifacts/jegadeesh_titman_momentum_research__jt1993_j3_k9_lag5.json,data/pipeline_artifacts/jegadeesh_titman_momentum_research__jt1993_j3_k9_lag5.csv
jt1993_j6_k9_lag5,6,9,5,10,40,12,3,9,0.25,-0.10392797,-0.12338115,0.87661885,-0.1863442,0.00852294,25.72222245,56747,-0.12434614,-0.15683543,0.04786138,0.04517162,-7.42484264,True,[],data/pipeline_artifacts/jegadeesh_titman_momentum_research__jt1993_j6_k9_lag5.json,data/pipeline_artifacts/jegadeesh_titman_momentum_research__jt1993_j6_k9_lag5.csv
jt1993_j9_k9_lag5,9,9,5,10,40,12,3,9,0.25,-0.10392797,-0.12338115,0.87661885,-0.1863442,0.00852294,25.72222245,56747,-0.12434614,-0.15683543,0.04786138,0.04517162,-7.42484264,True,[],data/pipeline_artifacts/jegadeesh_titman_momentum_research__jt1993_j9_k9_lag5.json,data/pipeline_artifacts/jegadeesh_titman_momentum_research__jt1993_j9_k9_lag5.csv
jt1993_j12_k9_lag5,12,9,5,10,40,12,3,9,0.25,-0.10392797,-0.12338115,0.87661885,-0.1863442,0.00852294,25.72222245,56747,-0.12434614,-0.15683543,0.04786138,0.04517162,-7.42484264,True,[],data/pipeline_artifacts/jegadeesh_titman_momentum_research__jt1993_j12_k9_lag5.json,data/pipeline_artifacts/jegadeesh_titman_momentum_research__jt1993_j12_k9_lag5.csv
